,Username,Date,Score,Review,Deviation from the Mean
110,ZICO,2019/03/03,4.5,"Não tem jeito, o formato televisivo sempre cai no gosto popular brasileiro; Vi isso acontecer com O Pagador de Promessas e Os Dez Mandamentos mas não que este estilo de filme reeditado anule a qualidade e o potencial da obra, pelo contrário, vejo isso como uma marca carimbada do país.",0.75
111,lari ✯,2024/06/09,5.0,ANSIOSA PARA O SEGUNDO!!,1.25
112,Carolina Zweig,2021/05/29,5.0,eu era ateia e esse filme me salvou.,1.25
113,Adam,2020/12/14,2.5,"While the poster may make you think that this film is a piece of high art, it is not. It is a Brazilian Adam Sandler movie that turns into a religious piece that turns into The Merchant of Venice.",-1.25
114,Adriana Scarpin,2024/01/05,5.0,"Há 25 anos o primeiro episódio de O Auto da Compadecida ia ao ar na TV brasileira e eu estava lá pra assistir. Provavelmente essa é a melhor produção da TV aberta brasileira que acompanhei, mas isso não se deve ao Guel Arraes ou aos atores renomados, isso se deve ao texto impecável do gênio Ariano Suassuna. No ano seguinte eu entraria no curso de Letras da UEL e teríamos todo um semestre para destrinchar essa obra-prima do Suassuna num…",1.25
115,saraiva,2023/06/20,5.0,LETTERBOXD EU EXIJO QUE DEVOLVAM O TOP 10 COM OS 4.6 NA PONTUAÇÃO,1.25
116,Calvin Kemph 🤠,2022/07/27,3.5,"Big in Brazil, a four part religious series (an auto, if you will, and even if you won’t), is now a fixture of your favorite movie app. How you feel about that probably varies. The positive ratings came suddenly and all at once — scan through the five star reviews and see a staggering difference of users without profile pictures versus any other film — is it a ruse? Perhaps it’s a national campaign to bring attention to a specific…",-0.25
117,Morgan,2021/11/09,4.0,"A screwball comedy is exactly what I’ve needed today. This surpassed my expectations. The pace is fast and the acting over-the-top, and I understand why this has kept such a high spot in the LB top 250. I can see this becoming a comfort movie for me, and I’m glad that I tried it out despite the multiple negative reviews I’ve read of this by non-Brazilians.",0.25
118,Lochlan Ashton,2021/02/06,2.0,"This is 1 hour and 40 minutes I will never get back.   I did not find this funny one but and my god did it bore me to death. I was hoping for something great because I saw the rating it had on Letterboxd but no, it was a shit show.",-1.75
119,julyz,2024/05/09,4.0,"⁠– Fui logo dizendo “I love you”, e ela se derreteu todinha. – “I love you”? – É. Quer dizer “morena” em francês.  Uma delícia de cinema nacional, Assisto esse filme desde quanto me entendo por gente e sempre me acabo de rir com ele,a comédia nordestina com aspecto religioso e cultural deixa esse filme com o sabor único do nordeste e acho tão icônico. A cinematografia não é a das melhores,na verdade acho bem merdinha mesmo mas para a…",0.25
120,clau,2023/04/11,5.0,imagina ser gringo e não compreender a genialidade deste aqui,1.25
121,marcelo_formiga,2023/02/05,3.5,"English: I watched the extended version of 2 hours and 40 minutes. I'm Brazilian, but I know that many ""foreigners"" hate this movie, for its very high rating on Letterboxd, but in my opinion A Dog's Will is not a bad movie, but the fact is that it works much better for Brazilians, and that already starts with the translation, in Brazil, the film is called ""O Auto da Compadecida"", which in a direct translation would be, The Compassionate Auto,…",-0.25
122,adrielli,2022/11/03,5.0,joão grilo e chicó para presidente e vice 2023,1.25
123,paulo,2019/05/17,5.0,o cinema brasileiro é uma joia incompreendida pelo próprio brasileiro...,1.25
124,Jack,2020/08/18,3.5,"So, this is the Brazil's answer to Dumb or Dumber because, it's dumb and has some insane moments. But, it's also very political and has a social statement on religion. I thought this was very funny for most of the time. I can't help myself but, laugh at the great slapstick moments  Unfortunately, the film loses steam around the 50 minute mark. I'm just baffaled by how this got into the top 100 of Letterboxd.  Is this a Brazilian classic or something?",-0.25
125,Jão,2024/05/12,4.0,Legal,0.25
126,lara,2024/02/20,5.0,fiquei sabendo que a SZA se formou em mentirologia com os professores joão grilo e chicó (isso não foi uma mentira),1.25
127,julia,2024/02/01,5.0,ERA A PILULA DE FELICIDADE QUE EU ESTAVA PRECISANDO MDS É INCRIVEL A CENA DO JULGAMENTO É CINEMA !!! (não consigo elaborar uma review tô apaixonada pela rosinha o gay panic me pegou fortissimo,1.25
128,DaredevilZ,2021/03/01,3.0,"This movie has the word ""bitch"" in it a lot more than I expected, but I'm not complaining.",-0.75
130,filmbroism,2020/04/07,5.0,"As a child in Brazil, I watched “O Auto da Compadecida” for the first time: I don’t remember when, or how old I was at the time, I just remember watching it whenever it was on TV because I loved it so much. In middle school, teachers used to make us watch it in class and even act it at times. In high school, the script that originated the film, was a subject of lectures in literature class because its…",1.25
131,Nando,2020/01/10,5.0,Extremamente memorável um marco para cultura brasileira.,1.25
132,Vitória Avendaño,2017/04/16,5.0,i can't find words to express how i love this movie and how much it's important for our country and our cinema. it's certainly a great movie to introduce foreign people to the brazilian cinema. i feel my heart warm after finishing it and i'm sure others would feel the same with this great piece of art.,1.25
133,Evasive,2021/12/13,3.5,"you'd think the title would have a deeper meaning but no, you literally see a dog write a will and sign it with her paw",-0.25
135,maria,2023/06/01,5.0,"“fui logo dizendo i love you e ela se derreteu todinha” “i love you?” “é, quer dizer morena em francês” o melhor diálogo do cinema brasileiro",1.25
136,Brandon White,2021/05/19,3.5,"A Dog’s Will, a film that probably has one of the most usages of the word “bitch” that I’ve heard in a long time. I will have never heard of this film at all if it wasn’t for this being on the top 250 list on Letterboxd. Since it was relatively short, I figured I should give it a watch to see what I’m getting myself into, and man, that was a film that I just watched.  I looked more…",-0.25
137,Cole Turner,2020/08/10,3.0,"You already know the only reason I put this on is that it's in the top ten on Letterboxd's Top 250 Narrative Features list. I was expecting to find this to at least be decent if it's this high up on Letterboxd's list as Brazil has produced some pretty good films before, but this... isn't even good to me. I understand that outsiders won't understand it and that's perfectly fine. Although, I don't know if I would say that a…",-0.75
138,MANAR,2020/07/08,3.0,They Had Us In the First Half ngl …,-0.75
139,Parafernalia,2020/06/23,4.0,"365 Películas en 2020 #300:  Hijole, sí me costó mucho agarrarle el gusto, los primeros Min. Del primer acto son muy difíciles de procesar, aunque esto no es culpa de la película realmente. Desde ahí, podemos darnos cuenta de la fluidez y experiencia actoral de todos los involucrados, es bastante impresionante.  O Auto Da Compadecida es una experiencia bíblica y épica que sirve como ejemplo perfecto sobre cómo una película religiosa debería ser. Su humor absurdo la hace verdaderamente especial,…",0.25
140,Justin,2023/01/28,0.5,Yikes man… it starts off awful and it really doesn’t get better whatsoever. Too cringe and tries so hard to be funny and it doesn’t land once. #3 in the top 250 😭😭,-3.25
141,Gus,2019/09/12,1.5,"Remember that the Imdb is so influenced by the Bollywood sphere? This is the same thing but with Brazilians, this movie has some fun parts but is definitely not accessible for the international community.  Currently number 23 on Letterboxds top 250 :(",-2.25
142,vinícius,2024/05/12,2.0,"Um clássico do cinema nacional superestimado. O Auto da Compadecida definitivamente não é pra mim, possivelmente o filme mais sem graça que eu já vi. Oque presta aqui é a Fernanda Montenegro entregando atuação.",-1.75
143,bia 𖤐,2024/05/11,5.0,"que filme bom, a cena do chicó revivendo enquanto o joão grilo toca a gaita é a mais icônica do filme. ansiosa demais pra volta dessa dupla apocalíptica nas telas de cinema!!",1.25
144,thai,2023/06/20,5.0,viva o cinema nacional,1.25
145,Mike,2023/02/19,4.5,"Letterboxd’s Top 250 Narrative Feature Films   A vivacious, entertaining comedy with one of the best closing scenes I’ve ever seen. Impressed by how smart, enthralling and moving the story turned out to be. Great dialogue and unforgettable characters. In love with it.",0.75
146,micah,2023/01/01,5.0,"""Não sei, só sei que foi assim!""  Eu não consigo acreditar que só hoje tive a oportunidade de ver a maior obra-prima de todos os tempos, e que obra viu meus amores. Deus sabe que todos os dias eu agradeço por ter nascido em solo nordestino, sou apaixonada pelo meu nordeste e sua cultura belíssima, mais um comfort movie p lista.  OBS: sou o chicó e emília o joão grilo, dyvos <3",1.25
148,h6cinema,2022/08/31,2.0,"27/100   The only reason i watched this film was because of it's ridiculously mind-blowing high position at the ""letterboxd Top 250 highest rated films"" and also for the fact no joking this film is higher than both Godfather 1 and 2, Seven Samurai and even Shawshank Redemption. idk if it's because i haven't watched many films (probably i've watched 2 thousand) or payed attention to the importance of foreign films even that asde, I've literally never heard of this film…",-1.75
149,Screenplayer,2021/03/07,1.0,"To me this film is like being a foreigner at a strange party in Brazil packed with almost only Brazilian people who are having a blast. They are dancing on the tables. You don't speak the language and you know nobody there. It's extremely loud, people are yelling at each other constantly and laugh hysterically about jokes you don't understand. Pretty much everyone there is ignoring you, except this one friendly guy who tries his best at translating what's going…",-2.75
150,Christopher Mansell,2020/08/04,2.0,"Here we are then, the legendary O Auto da Compadecida, otherwise known as A Dog's Will. Possibly the most infamous film on the whole Letterboxd platform, mostly due to its very high placement in the top 250, and the arguments that provokes from both sides. I'm going to do my best to not wade too far into that argument, mostly because I find the idea of whether a film ""deserves"" any position in what is largely a democratic process to…",-1.75
151,𝔠𝔩𝔞𝔯𝔞,2020/06/19,5.0,"num sei, só sei que foi assim.  maratona nacionais",1.25
153,Sven Roth,2022/01/16,1.0,"The low budget and the resulting limitations definitely didn't bother me. It has its charming moments here and there. But honestly, the humor and religious elements felt like pure torture to me.",-2.75
155,fabricio,2024/04/30,5.0,gentee esse filme eh mto bom sério morri de rir em cada cena,1.25
156,firefly,2023/09/27,5.0,emocionou muito,1.25
157,issaczzq,2022/11/12,5.0,"Sempre é difícil escolher por onde começar a falar sobre alguma grande obra. Conforme sua grandiosidade aumenta, mais difícil torna-se a tarefa, pois só uma das diversas abordagens possíveis será utilizada. Essa foi, sem dúvidas, a maior dificuldade que encontrei ao terminar O Auto da Compadecida, dirigido por Guel Arraes e inspirado na obra de Ariano Suassuna. Apesar de difícil, a tarefa está longe de ser um problema. Para quem gosta de futebol, remete àquela expressão tão usada no meio…",1.25
158,Ozybeastias,2020/03/01,1.5,"D+  So after a little over a year now on Letterboxd, and after hearing about this movie for that same amount of time, I finally got around to watching it, and.......it was worse than I expected. It’s a real shame since so many people (largely Brazilians) love this one, but it honestly did nothing for me. When you have a comedy that doesn’t make you laugh, then that comedy has failed. If I was Brazilian I would probably find this funny, but I am not. Some movies just translate differently outside of their native country.",-2.25
159,angel,2020/01/10,5.0,a maior obra brasileira e eu falo com total tranquilidade,1.25
160,duda,2020/01/10,5.0,não sei..... só sei que foi assim,1.25
161,Lucas Vasconcelos Silva,2020/07/14,5.0,"Tá todo mundo salvo menos o João Grilo com aquela linha capilar horrorosa.   For my friends from outside of Brazil, I wouldn’t recommend it. Unless you speak portuguese.",1.25
162,lucas ⧗,2024/01/18,5.0,nossa gostei dmss!!! toda vez que o personagem do Diego Vilela falava eu só conseguia lembrar do Manny de A Era do Gelo KKKKKKKKKKKKKKKKKK agora fiquei com vontade de ver a série e já to ansioso para a continuação que sai no final do ano!!,1.25
163,Alice 💜,2023/08/13,4.5,"""You should thank God the devil is a nice guy""  While the translation from the minisseries format into film form always bugged me a bit, as the first act always seemed a bit too rushed and over edited for me, can't deny it also makes for this to have literally 0 filler. Suassuna's text is some of the funniest things ever, ir has such wittiness in every line that makes even conventional conversations hilarious, and every member of the cast…",0.75
164,andrér,2023/06/20,5.0,um enorme SMT pra todo mundo que não gosta dessa obra prima,1.25
165,bell,2022/12/20,5.0,Eu sei todas as falas de cor e salteado e mesmo assim dou umas boas gaitadas assistindo,1.25
166,Apollo Anderson,2022/06/26,3.5,"Adorei a representação de Jesus e Maria. Um filme engraçado, lindo, e encantador.",-0.25
167,thelistislife42,2019/10/03,3.5,"7/10 A strange experience to say the least. There are so many over-the-top, silly moments that I considered giving it a 6 some of the time. But it's also so sincere, charming, and clever that I sometimes considered giving it an 8. Along with some compelling and interesting themes about religion, poverty, and what it means to be good, it ultimately won me over. A good time for sure and, though far from perfect, it's just clever, interesting, and poignant enough for me to like it.  Added to: My List: Top 1000 Greatest Films of All Time Ranking: 2019, First Time Watches",-0.25
168,Raul Marques,2015/01/20,4.5,"Uma obra prima do cinema nacional que passou desapercebida por mim. Atuação exagerada, edição exagerada, teatralidade exagerada e qualidade exagerada.",0.75
169,Suco de Universo,2023/06/19,5.0,"Só queria dizer, Letterboxd, que vocês são uns covardes.  Que vergonha.  Pensando seriamente em deixar a plataforma de vez depois dessa.",1.25
170,Nerd2002,2021/10/23,4.5,"Dos poucos filmes nacionais que eu já vi, esse aqui é histórico",0.75
171,Steven,2021/08/27,0.5,apparently a bunch of trolls and bots got this bumped up to #8 on letterboxd top 250 list. honestly you have to respect it. we should try to do the same for the new addison rae movie,-3.25
173,Muscala,2020/01/05,4.0,"This one has been on my radar for a while due to its top 20 spot in the official Letterboxd 250. Previously I thought it was more or less unavailable but turns out the whole thing is streaming on Vimeo in pretty good quality. I had no idea what it was about or what type of film it was, only that it doesn't always play that well to non-Brazilian audiences. Essentially it's a rapid fire Billy Wilder adjacent comedy with…",0.25
174,arthur 🎭,2024/03/15,5.0,"é a maior obra do cinema brasileiro, não tem jeito!!!",1.25
175,vini,2022/10/29,5.0,"fui logo dizendo ""I love you"" e ela se derreteu todinha...  I love you?  É. quer dizer morena em francês.",1.25
176,Caique Peixoto,2022/10/16,5.0,"Filme #157 assistido em 2022.  Volto com as reviews logo menos, por enquanto, apenas logando.  Lista do guia ""História do Cinema"", aqui: boxd.it/5hOn0",1.25
177,teamgal,2022/04/30,1.0,"A hodgepodge, whose tonal shifts border on incoherence: slob comedy one minute, religious allegory the next. Broadly acted, shot with all the finesse of daytime television, and brimming with heavy-handed symbolism. At least it moves quickly. Picture a more rascally Abbott & Costello feature that somehow morphs into a Bible pageant constructed with cheap special effects. The humor is sophomoric, the messages muddled and pedestrian.",-2.75
178,mariel💫,2021/11/20,3.0,"jesus, why don’t they just call the dog by their name?the priest has gotta be one of the most evilest person for not giving the dog a funeral",-0.75
179,millenedays,2021/10/09,5.0,"minha meta de vida é um dia ser metade do que dorinha foi, uma verdadeira DIVA que inspira",1.25
